Model,MAE,RMSE,R2,Cross Validation
Random Forest,0.48050590246496233,0.6389738284691384,0.772256201423022,0.7736696382507279
Linear Regression,0.9082335898585031,1.2451135051297924,0.1352345961893756,0.21278993674562738
Ridge,0.9082336013245534,1.2451136404875915,0.13523440816997367,0.21278990287157143
ElasticNet,0.9236351753805684,1.265904448287408,0.10611372065095626,0.19002908578039182
Lasso,0.9403448565570586,1.286039716776252,0.07745155429675987,0.1643059769629265
